Source,Target,strength,connection_type
PFd,Auditory,1,2
PFvm,Lateral,1,2
PFd,Medial,1,2
Sensorimotor,PFal/pl,3,2
Auditory,PFd,1,2
Medial,PFd,2,2
Visual,PFd,1,2
Prefrontal,PFm/c,2,2
Lateral,PFvm,1,2
PFm/c,Prefrontal,2,2
PFal/pl,Sensorimotor,3,2
PFd,Visual,1,2
Medial,CPdm,2,1
PFd,CPdm,2,1
Visual,CPdm,1,1
Lateral,CPiv,1,1
PFvm,CPiv,1,1
PFal/pl,CPl,3,1
Sensorimotor,CPl,3,1
Auditory,CPp,2,1
PFd,CPp,1,1
PFm/c,CPvm,2,1
Prefrontal,CPvm,1,1
