experiment_id,cortex_region,division,projection_strength_ipsi,projection_density_ipsi,projection_strength_contra,projection_density_contra,injection_volume
501116471,VISp,CPp,1.6564349,4.19E-05,330.1414,0.002117548,0.233435079
184213701,ACAv,CPp,493.4922,0.001058313,5.2031393,2.5750640787400787e-05,0.037047871
518606617,VISrl,CPp,18445.553,0.015493661,463.02335,0.002067277,0.178945256
651702588,VISa,CPp,10383.75,0.0169317,1737.8608,0.008515084,0.095199356
560725737,VISp,CPp,14.668527,7.29E-05,746.07465,0.00253125,0.237739062
288264753,RSPv,CPp,38.948574,0.000109844,3.9846342,2.94402848405209e-05,0.118150309
592391705,ACAd,CPp,21.9715,8.08E-05,0.14550248,2.0754247798800637e-06,0.109335964
175819113,SSp-bfd,CPp,8769.922,0.010442154,817.3432,0.001970039,0.135893944
297671018,SSp-bfd,CPp,1428.05,0.001947671,0,0,0.130375015
249327301,SSp-n,CPp,3062.4683,0.004025017,246.64809,0.000641921,0.143889274
518619451,VISam,CPp,296.6648,0.00283257,5423.981,0.016815629639679353,0.048282444
272928602,SSp-m,CPp,326.91412,0.000962766,2.7691348,1.7525809252320536e-05,0.163749768
652753758,VISpor,CPp,50471.355,0.036452607,3877.4722,0.016185776652777976,0.053958099
501117182,VISp,CPp,0.66729707,1.38E-05,455.24963,0.002794905,0.089482408
560736273,SSp-bfd,CPp,2000.6953,0.005588427,5.965651,4.58130803262414e-05,0.178980301
288324211,ORBl,CPp,114.02221,0.000328225,1.8803252,1.598845756352049e-05,0.141336756
592392441,VISpor,CPp,59303.652,0.035480386,702.93823,0.005065804,0.367174366
249396394,RSPv,CPp,125.769806,0.000450905,3.5813565,2.2829672578680698e-05,0.169900875
518741580,VISrl,CPp,6127.3057,0.016091153,1379.6564,0.010258286613856074,0.046373732
653191449,VISa,CPp,1028.8718,0.005051276,7.397442,0.000100466,0.30825461
560736987,VISal,CPp,1184.3109,0.007748329,6.8317046,0.00032638,0.000233143
297710633,SSp-bfd,CPp,670.00574,0.001220734,54.18725,0.000165035,0.062929181
176429574,VISpor,CPp,12164.601,0.018677055,0.006420078,1.0761461821600329e-06,0.103147646
292034715,MOs,CPp,176.59055,0.000476348,13.490228,7.755939269996237e-05,0.056435579
592513871,AUDd,CPp,21049.842,0.019731601,57.848194,0.000167341,0.07153609
272929308,VISrl,CPp,4416.899,0.007176588,0.22285378,5.5344660796801696e-06,0.106747323
502140653,VISp,CPp,93.20794,0.000509248,861.6363,0.003559046,0.031648693
249402048,GU,CPp,1480.06,0.00314227,36.08509,0.000109613,0.32121215
518742338,VISam,CPp,1240.5846,0.004203581,24520.365,0.022725363266595616,0.203621323
656632388,VISp,CPp,145.96718,0.0004044,2392.3274,0.002764312,0.105423941
562061175,VISp,CPp,0,0,943.7352,0.001322968,0.070026351
292124058,RSPv,CPp,0,0,0,0,0.010428632
592518697,VISl,CPp,43636.555,0.027990332,338.05603,0.001131491,0.403550084
257636467,SSs,CPp,1356.2789,0.002960709,0.00010322,7.686758444000235e-08,0.032376378
