experiment_id,ccf_id,ccf_region,layer,celltype,dispersion,size
194778_134,1125,ORBvl,L5,CT,,0
194778_135,620,ORBm,L5,IT,41.49096287,2
194778_137,620,ORBm,L5,IT,69.60344059,23
194778_138,620,ORBm,L5,IT,55.71238311,68
194778_139,1125,ORBvl,L5,CT,,0
194778_139,1125,ORBvl,L5,CT,,0
194778_140,1125,ORBvl,L5,IT,27.54838616,9
194778_141,1125,ORBvl,L5,CT,,0
194778_141,1125,ORBvl,L5,CT,,0
194778_142,620,ORBm,L5,IT,23.04343724,2
194778_144,620,ORBm,L5,ET,25.78759392,3
194778_145,620,ORBm,L5,CT,47.18315377,2
194778_145,620,ORBm,L5,CT,47.18315377,2
194778_147,1125,ORBvl,L5,CT,,0
194778_147,1125,ORBvl,L5,CT,,0
194778_150,1125,ORBvl,L5,CT,2.291287847,2
194778_150,1125,ORBvl,L5,CT,2.291287847,2
194778_151,1125,ORBvl,L5,CT,,0
194778_151,1125,ORBvl,L5,CT,,0
194778_152,620,ORBm,L5,IT,88.28975025,5
194778_153,620,ORBm,L5,IT,42.83565493,15
194778_155,1125,ORBvl,L5,IT,72.82545809,31
194779_001,526157192,FRP,L5,ET,31.46652888,37
194779_002,526157192,FRP,L5,ET,61.85497133,41
194779_003,526157192,FRP,L5,IT,92.9789529,130
194779_005,363,PL,L5,ET,56.19903201,16
194779_017,526157192,FRP,L5,IT,76.75896834,72
194779_019,620,ORBm,L5,ET,24.44082051,69
194779_020,620,ORBm,L5,ET,45.42284503,26
194779_024,620,ORBm,L5,ET,29.29368533,15
194779_025,620,ORBm,L5,ET,48.09051651,15
194779_028,620,ORBm,L5,IT,59.0832474,34
194779_029,620,ORBm,L5,CT,28.41019029,4
194779_029,620,ORBm,L5,CT,28.41019029,4
194779_032,620,ORBm,L5,ET,19.16584381,4
194779_035,1125,ORBvl,L5,ET,15.9033756,11
194779_039,620,ORBm,L5,IT,40.90171942,30
194779_040,1125,ORBvl,L5,ET,32.93718463,17
194779_048,620,ORBm,L5,IT,53.71888875,11
194779_060,767,MOs,L5,IT,67.97049052,37
194779_072,1101,AId,L5,CT,1.118033989,2
194779_072,1101,AId,L5,CT,1.118033989,2
194779_078,620,ORBm,L5,IT,,0
194779_088,620,ORBm,L5,IT,57.07819198,5
194779_090,620,ORBm,L5,IT,,0
194779_099,620,ORBm,L5,CT,,0
194779_099,620,ORBm,L5,CT,,0
194779_100,620,ORBm,L5,CT,,0
194779_100,620,ORBm,L5,CT,,0
194780_002,1101,AId,L5,ET,45.16108944,48
194780_002,1101,AId,L5,ET,45.16108944,48
194780_004,1101,AId,L5,IT,92.85579214,135
194780_007,1101,AId,L5,CT,,0
194780_007,1101,AId,L5,CT,,0
194780_010,1101,AId,L5,IT,37.21117206,40
194780_013,1101,AId,L5,CT,,0
194780_013,1101,AId,L5,CT,,0
194780_014,1101,AId,L5,CT,,0
194780_014,1101,AId,L5,CT,,0
194780_016,1101,AId,L5,IT,91.04705432,149
194780_017,1101,AId,L5,CT,,0
194780_017,1101,AId,L5,CT,,0
194780_021,1101,AId,L5,IT,84.41007932,107
194780_026,1101,AId,L5,IT,53.10240706,8
194780_027,1101,AId,L5,ET,68.89868494,6
194780_027,1101,AId,L5,ET,68.89868494,6
194780_029,630,ORBl,L5,IT,43.88225433,35
194780_030,1101,AId,L5,CT,,0
194780_030,1101,AId,L5,CT,,0
194780_031,1101,AId,L5,CT,,0
194780_031,1101,AId,L5,CT,,0
194780_033,1101,AId,L5,ET,50.33885179,2
194780_033,1101,AId,L5,ET,50.33885179,2
194780_034,767,MOs,L5,ET,51.569972,65
194780_040,767,MOs,L5,IT,82.30730791,91
194780_041,630,ORBl,L5,IT,120.1007984,80
194780_045,767,MOs,L5,IT,80.14171343,66
194780_047,630,ORBl,L5,IT,102.3240128,112
194780_048,630,ORBl,L5,IT,97.95235814,59
194780_049,630,ORBl,L5,CT,,0
194780_049,630,ORBl,L5,CT,,0
194780_051,630,ORBl,L5,CT,,0
194780_051,630,ORBl,L5,CT,,0
194780_054,630,ORBl,L5,ET,56.04765614,30
194780_055,630,ORBl,L5,CT,,0
194780_055,630,ORBl,L5,CT,,0
194780_056,630,ORBl,L5,IT,45.92293675,38
194780_057,630,ORBl,L5,CT,,0
194780_057,630,ORBl,L5,CT,,0
194780_058,630,ORBl,L5,IT,76.24505057,202
194780_059,630,ORBl,L5,IT,103.9306943,155
194780_061,1125,ORBvl,L5,ET,31.00890261,68
194780_062,1125,ORBvl,L5,CT,,0
194780_062,1125,ORBvl,L5,CT,,0
194780_066,1125,ORBvl,L5,CT,,0
194780_066,1125,ORBvl,L5,CT,,0
194780_067,1125,ORBvl,L5,IT,84.11479637,54
194780_068,1125,ORBvl,L5,ET,24.72944884,4
194780_071,1125,ORBvl,L5,IT,57.37873078,12
194780_077,1125,ORBvl,L5,ET,29.57306337,31
194780_079,1125,ORBvl,L5,ET,14.23090013,9
194781_001,630,ORBl,L5,ET,44.35798408,99
194781_002,630,ORBl,L5,ET,65.72888037,7
194781_003,1125,ORBvl,L5,ET,41.03218249,45
194781_004,1125,ORBvl,L5,ET,52.17768308,76
194781_005,1125,ORBvl,L5,ET,25.73440241,6
194781_006,1125,ORBvl,L5,CT,,0
194781_006,1125,ORBvl,L5,CT,,0
194781_007,1125,ORBvl,L5,CT,,0
194781_007,1125,ORBvl,L5,CT,,0
194781_008,1125,ORBvl,L5,ET,69.56270171,96
194781_009,1125,ORBvl,L5,ET,93.16225609,109
194781_010,1125,ORBvl,L5,IT,76.58979133,156
194781_011,1125,ORBvl,L5,IT,74.88809153,63
194781_018,526157192,FRP,L5,IT,79.33892293,45
