experiment_id,ccf_id,ccf_region,layer,celltype,dispersion,size
192106_141,363,PL,L5,ET,64.43341662,22
192106_143,363,PL,L5,ET,,0
192106_145,363,PL,L5,ET,30.48130144,12
192106_147,363,PL,L5,IT,60.53434491,49
192106_154,767,MOs,L5,ET,50.42894057,51
192106_159,526157192,FRP,L5,IT,67.85474682,15
192106_162,363,PL,L5,ET,,0
192106_167,620,ORBm,L5,IT,,1
192106_168,620,ORBm,L5,IT,33.34478251,14
192106_173,620,ORBm,L5,ET,3.937003937,2
192106_175,620,ORBm,L5,ET,,1
192106_179,363,PL,L5,IT,48.4650258,19
192309_000,1125,ORBvl,L5,CT,,0
192309_000,1125,ORBvl,L5,CT,,0
192309_001,1125,ORBvl,L5,CT,,0
192309_001,1125,ORBvl,L5,CT,,0
192309_002,1125,ORBvl,L5,CT,,0
192309_002,1125,ORBvl,L5,CT,,0
192309_003,1125,ORBvl,L5,CT,,0
192309_003,1125,ORBvl,L5,CT,,0
192309_005,1125,ORBvl,L5,CT,61.79216229,4
192309_005,1125,ORBvl,L5,CT,61.79216229,4
192309_008,1125,ORBvl,L5,CT,,0
192309_008,1125,ORBvl,L5,CT,,0
192309_055,363,PL,L5,IT,142.5708444,159
192309_058,363,PL,L5,IT,75.0705412,144
192309_060,363,PL,L5,IT,76.66409465,96
192309_061,1125,ORBvl,L5,ET,40.13987888,9
192309_078,1125,ORBvl,L5,CT,,0
192309_078,1125,ORBvl,L5,CT,,0
192309_079,1125,ORBvl,L5,IT,14.96786682,9
192309_080,1125,ORBvl,L5,CT,,0
192309_080,1125,ORBvl,L5,CT,,0
192310_001,620,ORBm,L5,IT,105.5341914,132
192310_002,620,ORBm,L5,IT,148.6265633,123
192310_005,620,ORBm,L5,IT,43.6925623,5
192310_006,1125,ORBvl,L5,IT,47.35413243,6
192310_009,1101,AId,L5,IT,64.344449,31
192310_010,526157192,FRP,L5,IT,111.320949,77
192310_011,526157192,FRP,L5,ET,65.73916023,21
192310_012,620,ORBm,L5,ET,49.79503787,30
192310_013,363,PL,L5,ET,57.57709354,102
192310_014,620,ORBm,L5,ET,23.0718378,6
192310_015,363,PL,L5,IT,99.89905609,329
192310_016,620,ORBm,L5,IT,87.23467808,148
192310_017,620,ORBm,L5,ET,51.42795797,50
192310_020,1101,AId,L5,IT,86.41620175,23
192310_029,526157192,FRP,L5,ET,37.56979899,7
192310_030,630,ORBl,L5,IT,,0
192310_042,620,ORBm,L5,IT,145.813096,104
192310_043,620,ORBm,L5,ET,78.06690371,10
192310_050,1125,ORBvl,L5,CT,,1
192310_050,1125,ORBvl,L5,CT,,1
192310_053,1125,ORBvl,L5,CT,7.304235857,6
192310_053,1125,ORBvl,L5,CT,7.304235857,6
192310_056,630,ORBl,L5,ET,36.17000325,14
192310_057,630,ORBl,L5,ET,33.07684283,113
192310_061,620,ORBm,L5,IT,58.16569419,24
192310_062,1125,ORBvl,L5,IT,12.9645671,5
192310_063,620,ORBm,L5,IT,55.60665645,61
192310_064,620,ORBm,L5,IT,,0
192310_070,630,ORBl,L5,CT,,0
192310_070,630,ORBl,L5,CT,,0
192310_085,620,ORBm,L5,CT,,0
192310_085,620,ORBm,L5,CT,,0
192310_086,630,ORBl,L5,CT,15.73213272,2
192310_086,630,ORBl,L5,CT,15.73213272,2
192310_087,1101,AId,L5,CT,,0
192310_087,1101,AId,L5,CT,,0
192310_090,620,ORBm,L5,IT,47.62184373,5
192310_097,630,ORBl,L5,CT,,1
192310_097,630,ORBl,L5,CT,,1
192310_102,1125,ORBvl,L5,IT,95.35284943,53
192310_112,620,ORBm,L5,IT,,1
192310_114,1101,AId,L5,IT,61.16647169,4
192310_121,620,ORBm,L5,IT,,0
192310_122,767,MOs,L5,CT,,0
192310_122,767,MOs,L5,CT,,0
192310_127,620,ORBm,L5,IT,,0
192310_128,620,ORBm,L5,IT,43.09807936,3
192310_135,1125,ORBvl,L5,CT,,1
192310_135,1125,ORBvl,L5,CT,,1
192310_136,630,ORBl,L5,IT,,0
192311_001,620,ORBm,L5,ET,,0
192311_033,363,PL,L5,IT,96.40872388,56
192311_037,363,PL,L5,IT,119.6895799,61
192311_038,363,PL,L5,ET,85.88069173,18
192311_041,363,PL,L5,IT,105.30056,111
192311_043,363,PL,L5,IT,133.8266172,87
