order,name
1,PL
2,ILA
3,ORBl
4,ORBm
5,ORBvl
6,FRP
7,AId
8,AIp
9,AIv
10,GU
11,VISC
12,PERI
13,ECT
14,MOp
15,MOp-m
16,MOp-ul
17,MOp-ll
18,MOs
19,MOs-bfd
20,MOs-n/bfd
21,MOs-m
22,MOs-tr
23,MOs-ul
24,MOs-ll
25,MOs-n
26,SSp
27,SSp-bfd
28,SSp-m
29,SSp-n
30,SSp-tr
31,SSp-ul
32,SSp-un
33,SSp-ll
34,SSs
35,VISa
36,VISal
37,VISrl
38,VISam
39,VISpm
40,VISp
41,VISl
42,VISpl
43,VISli
44,VISpor
45,ACAd
46,ACAv
47,RSPagl
48,RSPd
49,RSPv
50,AUDd
51,AUDp
52,AUDpo
53,AUDv
54,TEa
