order,id,name,r,g,b,level
0,184,FRP,38,143,69,8
12,985,MOp-m,31,157,90,8
13,985,MOp-ul,31,157,90,8
14,985,MOp-ll,31,157,90,8
15,993,MOs,31,157,90,8
16,993,MOs-bfd,31,157,90,8
17,993,MOs-n/bfd,31,157,90,8
18,993,MOs-m,31,157,90,8
19,993,MOs-ul,31,157,90,8
20,993,MOs-ll,31,157,90,8
21,993,MOs-n,31,157,90,8
31,322,SSp,24,128,100,8
38,353,SSp-n,24,128,100,9
45,329,SSp-bfd,24,128,100,9
59,337,SSp-ll,24,128,100,9
66,345,SSp-m,24,128,100,9
73,369,SSp-ul,24,128,100,9
80,361,SSp-tr,24,128,100,9
87,182305689,SSp-un,24,128,100,9
94,378,SSs,24,128,100,8
98,1057,GU,0,156,117,6
108,677,VISC,17,173,131,8
116,1011,AUDd,1,147,153,8
130,1002,AUDp,1,147,153,8
137,1027,AUDpo,1,147,153,8
144,1018,AUDv,1,147,153,8
158,402,VISal,8,133,140,8
165,394,VISam,8,133,140,8
172,409,VISl,8,133,140,8
179,385,VISp,8,133,140,8
186,425,VISpl,8,133,140,8
193,533,VISpm,8,133,140,8
200,312782574,VISli,8,133,140,8
207,312782628,VISpor,8,133,140,8
214,31,ACA,64,166,102,8
220,39,ACAd,64,166,102,9
226,48,ACAv,64,166,102,9
232,972,PL,47,168,80,8
239,44,ILA,89,179,99,8
246,714,ORB,36,138,94,8
252,723,ORBl,36,138,94,9
258,731,ORBm,36,138,94,9
265,738,ORBv,36,138,94,9
266,746,ORBvl,36,138,94,9
272,95,AI,33,152,102,8
273,104,AId,33,152,102,9
279,111,AIp,33,152,102,9
285,119,AIv,33,152,102,9
291,254,RSP,26,166,152,8
292,894,RSPagl,26,166,152,9
319,879,RSPd,26,166,152,9
326,886,RSPv,26,166,152,9
340,312782546,VISa,0,159,172,8
347,417,VISrl,0,159,172,8
354,541,TEa,21,176,179,6
375,895,ECT,13,159,145,8
